00:00.704  blend            | Read blend: "C:\Users\hwash\Documents\MachineMoveForward\assets\blender\graphics-v3\walker-review.blend"
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_front-right_Thigh_Geometry.001
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_hardpoint-light
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_prow-hazard-stripe
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_sponson-starboard
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_sponson-port
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_engine-lamp
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_engine-stair
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_lower-room-ceiling-frame
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_front-right_Shin_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_lower-room-shell
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_deck
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_front-right_Knee_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_front-right_Hip_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_front-right_Foot_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_front-left_Thigh_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_DeckTrim_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_front-left_Shin_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_front-left_Knee_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_front-left_Hip_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_front-left_Foot_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_ProwSkin_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_LegHousing_rear-right_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_LegHousing_rear-left_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_LegHousing_front-right_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_LegHousing_front-left_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_HullSkin_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Equipment_workbench_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Equipment_generator_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Equipment_fuel-tank_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Equipment_crate-b_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Equipment_crate-a_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Equipment_collector_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_EngineSkin_Geometry.001
00:00.735  render           | Fra: 1 | Mem: 0M | Initializing
00:00.735  render           | Fra: 1 | Mem: 0M | Updating Images | Loading WalkerV3_Graphite_ORM.001
00:00.735  render           | Fra: 1 | Mem: 0M | Updating Images | Loading WalkerV3_PaintSage_ORM.001
00:00.766  render           | Fra: 1 | Mem: 4M | Updating Images | Loading WalkerV3_Rubber_ORM.001
00:00.766  render           | Fra: 1 | Mem: 8M | Updating Images | Loading WalkerV3_PaintSage_BaseColor.001
00:00.766  render           | Fra: 1 | Mem: 12M | Updating Images | Loading WalkerV3_BareSteel_Normal.001
00:00.766  render           | Fra: 1 | Mem: 16M | Updating Images | Loading WalkerV3_BareSteel_ORM.001
00:00.766  render           | Fra: 1 | Mem: 20M | Updating Images | Loading WalkerV3_BareSteel_BaseColor.001
00:00.766  render           | Fra: 1 | Mem: 24M | Updating Images | Loading WalkerV3_Rubber_Normal.001
00:00.797  render           | Fra: 1 | Mem: 48M | Waiting for render to start
00:00.797  render           | Fra: 1 | Mem: 48M | Updating Scene
00:00.797  render           | Fra: 1 | Mem: 48M | Updating Shaders
00:00.797  render           | Fra: 1 | Mem: 48M | Loading render kernels (may take a few minutes the first time)
00:00.797  render           | Fra: 1 | Mem: 49M | Updating Procedurals
00:00.797  render           | Fra: 1 | Mem: 49M | Updating Background
00:00.797  render           | Fra: 1 | Mem: 49M | Updating Camera
00:00.797  render           | Fra: 1 | Mem: 49M | Updating Meshes Flags
00:00.797  render           | Fra: 1 | Mem: 49M | Updating Objects
00:00.797  render           | Fra: 1 | Mem: 49M | Updating Objects | Copying Transformations to device
00:00.797  render           | Fra: 1 | Mem: 49M | Updating Particle Systems
00:00.797  render           | Fra: 1 | Mem: 49M | Updating Particle Systems | Copying Particles to device
00:00.797  render           | Fra: 1 | Mem: 49M | Updating Meshes
00:00.797  render           | Fra: 1 | Mem: 49M | Updating Objects | Applying Static Transformations
00:00.813  render           | Fra: 1 | Mem: 49M | Updating Mesh | Computing attributes
00:00.813  render           | Fra: 1 | Mem: 49M | Updating Mesh | Copying Attributes to device
00:00.813  render           | Fra: 1 | Mem: 57M | Updating Scene BVH | Building
00:00.813  render           | Fra: 1 | Mem: 57M | Updating Scene BVH | Building BVH
00:00.813  render           | Fra: 1 | Mem: 60M | Updating Scene BVH | Building BVH 0%
00:00.813  render           | Fra: 1 | Mem: 64M | Updating Scene BVH | Copying BVH to device
00:00.813  render           | Fra: 1 | Mem: 64M | Updating Mesh | Computing normals
00:00.813  render           | Fra: 1 | Mem: 64M | Updating Mesh | Copying Mesh to device
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Objects Flags
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Primitive Offsets
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Images
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Volume
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Camera Volume
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Lookup Tables
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Lights
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Lights | Computing tree
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Integrator
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Film
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Lookup Tables
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Baking
00:00.813  render           | Fra: 1 | Mem: 66M | Updating Device | Writing constant memory
00:00.813  render           | Fra: 1 | Mem: 66M | Loading denoising kernels (may take a few minutes the first time)
00:00.813  render           | Fra: 1 | Mem: 66M | Sample 0/48
00:01.407  render           | Fra: 1 | Remaining: 00:27.86 | Mem: 182M | Sample 1/48
00:35.266  render           | Fra: 1 | Mem: 182M | Sample 48/48
00:35.266  render           | Fra: 1 | Mem: 182M | Finished
00:35.610  render           | Saved: 'C:\Users\hwash\Documents\MachineMoveForward\docs\art\graphics-v3\blender-walker-0001.png'
00:35.610  render           | Time: 00:34.88 (Saving: 00:00.25)
BlenderMCP addon registered
BlenderMCP addon unregistered

Blender quit
